ACCOUNT_ID,CUSTOMER_ID,BRANCH_ID,ACCOUNT_TYPE,STATUS_CD,OPEN_DATE,UPDATED_AT
1001,1,101,SAVINGS,A,2019-04-15,2026-05-01T00:00:00
1002,1,101,CHECKING,A,2020-01-10,2026-05-01T00:00:00
1003,2,101,SAVINGS,A,2020-08-25,2026-05-01T00:00:00
1004,3,102,BUSINESS,A,2017-02-20,2026-05-01T00:00:00
1005,3,102,SAVINGS,A,2017-02-20,2026-05-01T00:00:00
1006,4,103,SAVINGS,A,2021-11-10,2026-05-01T00:00:00
1007,5,104,BUSINESS,A,2015-07-01,2026-05-01T00:00:00
1008,5,104,CHECKING,A,2015-07-01,2026-05-01T00:00:00
1009,6,103,SAVINGS,A,2022-03-22,2026-05-01T00:00:00
1010,7,105,BUSINESS,A,2018-09-15,2026-05-01T00:00:00
1011,8,103,SAVINGS,A,2023-01-30,2026-05-01T00:00:00
1012,9,106,SAVINGS,A,2019-12-10,2026-05-01T00:00:00
1013,10,107,BUSINESS,A,2016-05-25,2026-05-01T00:00:00
1014,10,107,CHECKING,A,2016-05-25,2026-05-01T00:00:00
1015,11,108,SAVINGS,A,2024-02-18,2026-05-01T00:00:00
1016,12,105,BUSINESS,A,2020-11-05,2026-05-01T00:00:00
1017,13,103,SAVINGS,A,2021-07-28,2026-05-01T00:00:00
1018,14,101,SAVINGS,A,2018-11-20,2026-05-01T00:00:00
1019,15,104,BUSINESS,A,2014-03-10,2026-05-01T00:00:00
1020,15,104,CHECKING,A,2014-03-10,2026-05-01T00:00:00
1021,16,108,SAVINGS,A,2025-01-15,2026-05-01T00:00:00
1022,17,102,BUSINESS,A,2019-08-22,2026-05-01T00:00:00
1023,18,106,SAVINGS,A,2022-12-31,2026-05-01T00:00:00
1024,19,101,SAVINGS,A,2020-04-10,2026-05-01T00:00:00
1025,20,107,BUSINESS,A,2013-10-15,2026-05-01T00:00:00
1026,20,107,CHECKING,A,2013-10-15,2026-05-01T00:00:00
1027,21,108,SAVINGS,A,2024-06-28,2026-05-01T00:00:00
1028,22,105,BUSINESS,A,2017-12-18,2026-05-01T00:00:00
1029,23,103,SAVINGS,A,2023-09-08,2026-05-01T00:00:00
1030,24,103,SAVINGS,A,2021-05-21,2026-05-01T00:00:00
1031,25,104,BUSINESS,A,2015-02-01,2026-05-01T00:00:00
1032,1,101,SAVINGS,C,2019-04-15,2026-05-01T00:00:00
1033,3,102,SAVINGS,C,2017-02-20,2026-05-01T00:00:00
1034,7,105,SAVINGS,A,2018-09-15,2026-05-01T00:00:00
1035,9,106,CHECKING,A,2019-12-10,2026-05-01T00:00:00
1036,11,108,CHECKING,A,2024-02-18,2026-05-01T00:00:00
1037,13,103,CHECKING,A,2021-07-28,2026-05-01T00:00:00
1038,15,104,SAVINGS,A,2014-03-10,2026-05-01T00:00:00
1039,17,102,SAVINGS,A,2019-08-22,2026-05-01T00:00:00
1040,19,101,CHECKING,A,2020-04-10,2026-05-01T00:00:00
