CUSTOMER_ID,CUSTOMER_SEGMENT,OPEN_DATE,RISK_SCORE,UPDATED_AT
1,RETAIL,2019-04-10,12.50,2026-05-01T00:00:00
2,RETAIL,2020-08-22,8.75,2026-05-01T00:00:00
3,SME,2017-02-13,33.20,2026-05-01T00:00:00
4,RETAIL,2021-11-05,15.10,2026-05-01T00:00:00
5,CORPORATE,2015-06-30,45.80,2026-05-01T00:00:00
6,RETAIL,2022-03-18,9.40,2026-05-01T00:00:00
7,SME,2018-09-09,28.65,2026-05-01T00:00:00
8,RETAIL,2023-01-25,11.20,2026-05-01T00:00:00
9,RETAIL,2019-12-04,14.30,2026-05-01T00:00:00
10,CORPORATE,2016-05-19,52.10,2026-05-01T00:00:00
11,RETAIL,2024-02-12,7.80,2026-05-01T00:00:00
12,SME,2020-10-30,30.45,2026-05-01T00:00:00
13,RETAIL,2021-07-21,13.65,2026-05-01T00:00:00
14,RETAIL,2018-11-14,10.05,2026-05-01T00:00:00
15,CORPORATE,2014-03-03,48.90,2026-05-01T00:00:00
16,RETAIL,2025-01-08,6.20,2026-05-01T00:00:00
17,SME,2019-08-17,27.30,2026-05-01T00:00:00
18,RETAIL,2022-12-29,16.75,2026-05-01T00:00:00
19,RETAIL,2020-04-04,12.90,2026-05-01T00:00:00
20,CORPORATE,2013-10-10,55.40,2026-05-01T00:00:00
21,RETAIL,2024-06-22,8.10,2026-05-01T00:00:00
22,SME,2017-12-11,31.85,2026-05-01T00:00:00
23,RETAIL,2023-09-02,14.55,2026-05-01T00:00:00
24,RETAIL,2021-05-16,11.95,2026-05-01T00:00:00
25,CORPORATE,2015-01-27,49.70,2026-05-01T00:00:00
