TRANSACTION_ID,ACCOUNT_ID,TRANSACTION_DATE,AMOUNT,CHANNEL_CD,UPDATED_AT
700001,1001,2026-04-27,15000.00,ATM,2026-04-27T08:15:00
700002,1003,2026-04-27,-2500.50,ONLINE,2026-04-27T09:02:11
700003,1004,2026-04-27,250000.00,BRANCH,2026-04-27T10:11:00
700004,1006,2026-04-27,-7800.00,MOBILE,2026-04-27T11:45:30
700005,1009,2026-04-27,3300.00,ATM,2026-04-27T12:01:09
700006,1011,2026-04-27,-1200.00,ONLINE,2026-04-27T13:22:50
700007,1015,2026-04-27,9800.00,ATM,2026-04-27T14:05:00
700008,1017,2026-04-27,-500.00,MOBILE,2026-04-27T15:18:00
700009,1023,2026-04-27,12500.00,BRANCH,2026-04-27T16:00:00
700010,1027,2026-04-27,-4200.75,ONLINE,2026-04-27T16:45:00
700011,1001,2026-04-28,-1500.00,ATM,2026-04-28T08:10:00
700012,1002,2026-04-28,75000.00,BRANCH,2026-04-28T09:30:00
700013,1003,2026-04-28,-300.00,MOBILE,2026-04-28T10:11:00
700014,1004,2026-04-28,-100000.00,ONLINE,2026-04-28T11:00:00
700015,1006,2026-04-28,8000.00,ATM,2026-04-28T12:00:00
700016,1007,2026-04-28,150000.00,BRANCH,2026-04-28T13:00:00
700017,1010,2026-04-28,-25000.00,ONLINE,2026-04-28T14:00:00
700018,1012,2026-04-28,4500.00,ATM,2026-04-28T15:00:00
700019,1018,2026-04-28,-800.00,MOBILE,2026-04-28T15:45:00
700020,1024,2026-04-28,2700.00,ATM,2026-04-28T16:30:00
700021,1001,2026-04-29,-2000.00,MOBILE,2026-04-29T07:55:00
700022,1005,2026-04-29,180000.00,BRANCH,2026-04-29T09:10:00
700023,1008,2026-04-29,-12000.00,ONLINE,2026-04-29T10:25:00
700024,1009,2026-04-29,-450.00,ATM,2026-04-29T11:00:00
700025,1010,2026-04-29,50000.00,BRANCH,2026-04-29T12:15:00
700026,1013,2026-04-29,300000.00,BRANCH,2026-04-29T13:00:00
700027,1015,2026-04-29,-1100.00,MOBILE,2026-04-29T14:20:00
700028,1019,2026-04-29,220000.00,BRANCH,2026-04-29T15:10:00
700029,1022,2026-04-29,-9800.00,ONLINE,2026-04-29T16:00:00
700030,1028,2026-04-29,42000.00,BRANCH,2026-04-29T16:45:00
700031,1001,2026-04-30,6000.00,ATM,2026-04-30T08:00:00
700032,1003,2026-04-30,-3000.00,ATM,2026-04-30T09:00:00
700033,1006,2026-04-30,11000.00,ATM,2026-04-30T10:00:00
700034,1011,2026-04-30,-600.00,MOBILE,2026-04-30T11:00:00
700035,1014,2026-04-30,4800.00,ATM,2026-04-30T12:00:00
700036,1016,2026-04-30,-18000.00,ONLINE,2026-04-30T13:00:00
700037,1020,2026-04-30,-22000.00,ONLINE,2026-04-30T14:00:00
700038,1025,2026-04-30,55000.00,BRANCH,2026-04-30T15:00:00
700039,1029,2026-04-30,7200.00,ATM,2026-04-30T16:00:00
700040,1031,2026-04-30,130000.00,BRANCH,2026-04-30T16:30:00
700041,1002,2026-05-01,-9000.00,ONLINE,2026-05-01T08:30:00
700042,1004,2026-05-01,75000.00,BRANCH,2026-05-01T09:30:00
700043,1007,2026-05-01,-30000.00,ONLINE,2026-05-01T10:30:00
700044,1009,2026-05-01,3500.00,ATM,2026-05-01T11:30:00
700045,1012,2026-05-01,-2000.00,MOBILE,2026-05-01T12:30:00
700046,1015,2026-05-01,8800.00,ATM,2026-05-01T13:30:00
700047,1018,2026-05-01,-700.00,MOBILE,2026-05-01T14:30:00
700048,1021,2026-05-01,5200.00,ATM,2026-05-01T15:30:00
700049,1026,2026-05-01,-15000.00,ONLINE,2026-05-01T16:30:00
700050,1030,2026-05-01,9500.00,ATM,2026-05-01T17:00:00
700051,1001,2026-05-02,-4500.00,MOBILE,2026-05-02T08:20:00
700052,1005,2026-05-02,260000.00,BRANCH,2026-05-02T09:20:00
700053,1008,2026-05-02,-14000.00,ONLINE,2026-05-02T10:20:00
700054,1011,2026-05-02,2200.00,ATM,2026-05-02T11:20:00
700055,1013,2026-05-02,400000.00,BRANCH,2026-05-02T12:20:00
700056,1017,2026-05-02,-1900.00,MOBILE,2026-05-02T13:20:00
700057,1022,2026-05-02,-11000.00,ONLINE,2026-05-02T14:20:00
700058,1024,2026-05-02,3300.00,ATM,2026-05-02T15:20:00
700059,1028,2026-05-02,38000.00,BRANCH,2026-05-02T16:20:00
700060,1032,2026-05-02,-500.00,ATM,2026-05-02T16:50:00
700061,1003,2026-05-03,-2700.00,MOBILE,2026-05-03T08:40:00
700062,1006,2026-05-03,9100.00,ATM,2026-05-03T09:40:00
700063,1010,2026-05-03,60000.00,BRANCH,2026-05-03T10:40:00
700064,1014,2026-05-03,5400.00,ATM,2026-05-03T11:40:00
700065,1019,2026-05-03,180000.00,BRANCH,2026-05-03T12:40:00
700066,1023,2026-05-03,13200.00,BRANCH,2026-05-03T13:40:00
700067,1027,2026-05-03,-3800.00,ONLINE,2026-05-03T14:40:00
700068,1029,2026-05-03,7600.00,ATM,2026-05-03T15:40:00
700069,1031,2026-05-03,90000.00,BRANCH,2026-05-03T16:40:00
